model,batch,total,correct,incorrect,accuracy
GPT-5 Low,batch1,99,68,31,68.68686868686868
GPT-5 Low,batch2,99,67,32,67.67676767676768
GPT-5 Low,both,198,135,63,68.18181818181817
GPT-5 Med,batch1,99,63,36,63.63636363636363
GPT-5 Med,batch2,99,74,25,74.74747474747475
GPT-5 Med,both,198,137,61,69.1919191919192
Gemini 2.5 Flash,batch1,99,54,45,54.54545454545454
Gemini 2.5 Flash,batch2,99,52,47,52.52525252525253
Gemini 2.5 Flash,both,198,106,92,53.535353535353536
Gemini 2.5 Pro,batch1,99,55,44,55.55555555555556
Gemini 2.5 Pro,batch2,99,56,43,56.56565656565656
Gemini 2.5 Pro,both,198,111,87,56.060606060606055
ALL,both,792,489,303,61.74242424242424
